region,city,players_origin
Illinois,Chicago,155
Pennsylvania,Philadelphia,122
California,Los Angeles,113
New York,Brooklyn,107
New York,New York,103
District of Columbia,Washington,76
Michigan,Detroit,69
Georgia,Atlanta,48
Texas,Dallas,47
Maryland,Baltimore,44
Texas,Houston,43
Tennessee,Memphis,40
Kentucky,Louisville,37
Missouri,St. Louis,35
Indiana,Indianapolis,34
Wisconsin,Milwaukee,30
Louisiana,New Orleans,30
Washington,Seattle,29
Alabama,Birmingham,27
Ohio,Cleveland,27
New York,Bronx,26
California,Oakland,25
Louisiana,Baton Rouge,25
California,San Francisco,25
New Jersey,Newark,23
Pennsylvania,Pittsburgh,23
Minnesota,Minneapolis,22
Ohio,Dayton,22
Ohio,Columbus,22
Oregon,Portland,21
New York,Queens,20
Ohio,Cincinnati,20
North Carolina,Charlotte,19
Tennessee,Nashville,19
California,San Diego,18
Indiana,Gary,18
Mississippi,Jackson,18
California,Long Beach,17
Ohio,Toledo,17
Michigan,Flint,17
Canada,Toronto,16
New York,Buffalo,16
Florida,Miami,15
Massachusetts,Boston,15
New Jersey,Jersey City,15
Ohio,Akron,14
North Carolina,Winston-Salem,14
Indiana,Fort Wayne,14
Australia,Melbourne,13
North Carolina,Raleigh,13
Utah,Salt Lake City,12
New York,Rochester,12
Nevada,Las Vegas,12
Viginia,Richmond,12
Missouri,Kansas City,12
Oklahoma,Oklahoma City,12
Oklahoma,Tulsa,12
Texas,San Antonio,11
Serbia,Belgrade,11
Florida,Jacksonville,11
Connecticut,Hartford,11
Arkansas,Little Rock,11
California,Sacramento,10
New York,Syracuse,10
Florida,Orlando,10
Alabama,Mobile,10
Louisiana,Shreveport,10
California,Riverside,10
New Jersey,Trenton,10
California,Fresno,10
Louisiana,Monroe,9
Canada,Montreal,9
Ohio,Canton,9
California,San Jose,9
Michigan,Saginaw,9
South Carolina,Greenville,9
California,Compton,9
Michigan,Grand Rapids,9
Arizona,Phoenix,9
California,Inglewood,9
South Carolina,Columbia,9
New York,Mount Vernon,9
Nebraska,Omaha,8
North Carolina,Greensboro,8
Senegal,Dakar,8
Indiana,South Bend,8
Croatia,Split,8
Lithuania,Kaunas,8
Kansas,Kansas City,8
Georgia,Augusta,8
Washington,Tacoma,8
Kentucky,Lexington,8
Texas,Fort Worth,8
Georgia,Marietta,7
California,Torrance,7
Georgia,Savannah,7
Connecticut,New Haven,7
North Carolina,Durham,7
Minnesota,St. Paul,7
United Kingdom,London,7
South Carolina,Charleston,7
Alabama,Montgomery,7
Colorado,Denver,7
Illinois,Peoria,7
Delaware,Wilmington,7
California,Bakersfield,7
North Carolina,Gastonia,6
Maryland,Silver Spring,6
California,Berkeley,6
Nigeria,Lagos,6
New Jersey,Union City,6
Spain,Madrid,6
Illinois,Joliet,6
Connecticut,Bridgeport,6
Florida,Tampa,6
Michigan,Lansing,6
Illinois,Harvey,6
Rhode Island,Providence,6
Illinois,Maywood,6
Indiana,Muncie,6
New Jersey,Camden,6
Florida,Pensacola,6
Wisconsin,Racine,6
Indiana,East Chicago,6
Illinois,Evanston,6
Viginia,Norfolk,6
Kansas,Wichita,6
France,Paris,6
New Jersey,Elizabeth,6
New York,Jamaica,5
North Carolina,Kinston,5
Indiana,Terre Haute,5
Kentucky,Covington,5
New Jersey,New Brunswick,5
New Jersey,Atlantic City,5
Viginia,Alexandria,5
Massachusetts,Worcester,5
Michigan,Pontiac,5
Pennsylvania,Chester,5
Utah,Provo,5
Illinois,Aurora,5
Canada,Mississauga,5
California,Hollywood,5
Ohio,,5
Ohio,Middletown,5
North Carolina,Wilmington,5
North Carolina,Fayetteville,5
Slovenia,Ljubljana,5
California,Pasadena,5
Turkey,Istanbul,5
Georgia,Macon,5
Georgia,Columbus,5
Mississippi,Meridian,4
Kentucky,Hopkinsville,4
New Jersey,Orange,4
California,San Bernardino,4
Nebraska,Lincoln,4
Iowa,Des Moines,4
Viginia,Petersburg,4
Indiana,Marion,4
New Jersey,Teaneck,4
Texas,Lubbock,4
Tennessee,Cleveland,4
Ohio,Springfield,4
Tennessee,Knoxville,4
Wisconsin,Madison,4
Florida,Ocala,4
Viginia,Chesapeake,4
Indiana,Evansville,4
Georgia,Albany,4
Viginia,Portsmouth,4
North Carolina,Rocky Mount,4
Bosnia and Herzegovina,Mostar,4
Florida,Lakeland,4
Arkansas,West Memphis,4
Dominican Republic,Santo Domingo,4
Illinois,Rockford,4
Kentucky,Owensboro,4
Washington,Spokane,4
Michigan,Benton Harbor,4
Texas,Arlington,4
New York,The Bronx,4
Illinois,Waukegan,4
Alabama,Huntsville,4
Iowa,Cedar Rapids,4
Pennsylvania,Harrisburg,4
New York,Poughkeepsie,4
Greece,Athens,4
California,Merced,4
California,West Covina,4
Democratic Republic of the Congo,Kinshasa,4
Arkansas,Fort Smith,4
New York,Rockville Centre,4
Michigan,Kalamazoo,4
Bahamas,Nassau,4
Arkansas,Pine Bluff,4
Viginia,Fairfax,4
Mississippi,Starkville,3
California,Lynwood,3
Michigan,Birmingham,3
California,Gardena,3
Texas,Tyler,3
Pennsylvania,Altoona,3
Oklahoma,Edmond,3
South Sudan,Wau,3
Arkansas,McGehee,3
New Jersey,Glen Ridge,3
Oregon,Eugene,3
Indiana,Richmond,3
California,North Hollywood,3
Indiana,Bloomington,3
Argentina,Santa Fe,3
Louisiana,Zachary,3
Argentina,Buenos Aires,3
Indiana,Anderson,3
Haiti,Port-au-Prince,3
Tennessee,Chattanooga,3
California,San Pedro,3
Alabama,Tuskegee,3
Kentucky,Newport,3
Texas,Corsicana,3
Mississippi,Canton,3
California,San Mateo,3
Louisiana,Minden,3
California,Modesto,3
New Jersey,Paterson,3
Florida,Bartow,3
North Carolina,Asheville,3
Pennsylvania,New Kensington,3
New York,Yonkers,3
Viginia,Hampton,3
Georgia,Tbilisi,3
Illinois,Decatur,3
Germany,Munich,3
Australia,Sydney,3
Michigan,Southfield,3
New York,Binghamton,3
Illinois,Oak Park,3
Illinois,Springfield,3
Mississippi,Yazoo City,3
Brazil,Sao Paulo,3
New York,New Rochelle,3
New York,Long Island,3
Viginia,Roanoke,3
Ohio,Lima,3
Ukraine,Kiev,3
Missouri,Poplar Bluff,3
Utah,Ogden,3
Michigan,Jackson,3
New Jersey,Hoboken,3
Pennsylvania,Uniontown,3
Louisiana,Pineville,3
Florida,Daytona Beach,3
California,Bellflower,3
Maryland,Cheverly,3
Washington,Federal Way,3
Pennsylvania,Johnstown,3
Mississippi,Greenwood,3
Missouri,Columbia,3
Ohio,Bellefontaine,3
Florida,Gainesville,3
New Jersey,Plainfield,3
Iowa,Ames,3
Alabama,Tuscaloosa,3
Florida,Lake Wales,3
Indiana,Hammond,3
New York,Schenectady,3
Indiana,Washington,3
Illinois,Elgin,3
Colorado,Boulder,3
Mississippi,Pascagoula,3
Illinois,Quincy,3
California,Santa Monica,3
Kentucky,Russellville,3
Germany,Frankfurt,3
Louisiana,Lafayette,3
Louisiana,Bastrop,3
California,Walnut Creek,3
New York,Harlem,3
New York,Long Island City,3
Croatia,Zagreb,3
Michigan,Highland Park,3
Arizona,Tucson,3
South Carolina,Orangeburg,3
Mississippi,Columbus,3
Michigan,Ann Arbor,3
New Jersey,Morristown,3
Viginia,Virginia Beach,3
Kentucky,Hazard,2
California,Irvine,2
Mississippi,Macon,2
Canada,Scarborough,2
Germany,Berlin,2
France,Rouen,2
Guyana,Georgetown,2
Georgia,,2
Louisiana,Morgan City,2
French Guiana,Cayenne,2
Louisiana,Tallulah,2
Illinois,Rock Island,2
Mississippi,Gulfport,2
Greece,Trikala,2
Indiana,,2
Kentucky,Birmingham,2
Ohio,Hamilton,2
Canada,Halifax,2
Illinois,Belleville,2
California,Palo Alto,2
Illinois,Lockport,2
Poland,Lodz,2
Florida,Milton,2
Nigeria,Port Harcourt,2
Viginia,Chesterfield,2
Wisconsin,Wausau,2
Viginia,Greenville County,2
Minnesota,Burnsville,2
Georgia,Villa Rica,2
Massachusetts,Salem,2
Florida,West Palm Beach,2
Maryland,Clinton,2
Indiana,Yorktown,2
Germany,Wurzburg,2
Minnesota,Hibbing,2
Connecticut,Stamford,2
New York,Albany,2
China,Beijing,2
Latvia,Valmiera,2
Michigan,Traverse City,2
Georgia,College Park,2
Michigan,Muskegon,2
New Jersey,Irvington,2
France,Mulhouse,2
Illinois,Melrose Park,2
Minnesota,Hopkins,2
Maryland,Upper Marlboro,2
Pennsylvania,Sharon,2
Kentucky,Murray,2
Indiana,Bedford,2
North Carolina,Burlington,2
Georgia,Toccoa,2
Florida,Winter Haven,2
North Carolina,Greenville,2
New Jersey,East Orange,2
Japan,Yokohama,2
Mississippi,Hattiesburg,2
Mississippi,New Albany,2
Kansas,Liberal,2
Mississippi,Rolling Fork,2
Ohio,Findlay,2
Australia,Adelaide,2
Ohio,Warren,2
California,Huntington Beach,2
Florida,Fort Lauderdale,2
Nigeria,Benin City,2
Montana,Missoula,2
Florida,Coral Gables,2
Illinois,Centralia,2
Maryland,Frederick,2
Oklahoma,Norman,2
Viginia,Danville,2
Georgia,Canton,2
New Jersey,Perth Amboy,2
Kentucky,Paris,2
Arkansas,Malvern,2
Pennsylvania,Allentown,2
New York,Staten Island,2
Missouri,Boonville,2
Maryland,Rockville,2
Georgia,Cartersville,2
New York,Niagara Falls,2
Georgia,Thomaston,2
Spain,Barcelona,2
Indiana,Elkhart,2
Florida,Casselberry,2
Wisconsin,Kenosha,2
Texas,San Marcos,2
Florida,Riviera Beach,2
Texas,Longview,2
Mississippi,Utica,2
Viginia,Harrisonburg,2
New Jersey,West Orange,2
Massachusetts,Lynn,2
Texas,Killeen,2
Viginia,Newport News,2
Minnesota,,2
California,Stockton,2
California,La Mesa,2
Wyoming,Cheyenne,2
Alabama,Dothan,2
Alabama,Harpersville,2
Illinois,Danville,2
Kentucky,Bowling Green,2
Illinois,Washington,2
Massachusetts,Brookline,2
Indiana,Kokomo,2
New York,Elmhurst,2
Australia,Brisbane,2
Texas,Beaumont,2
Washington,Bellingham,2
Texas,Galveston,2
Louisiana,Winnsboro,2
Montana,Billings,2
Wisconsin,Wauwatosa,2
New Jersey,Neptune,2
Indiana,Martinsville,2
North Carolina,Whiteville,2
Michigan,Hamtramck,2
Guinea,Conakry,2
Argentina,Las Varillas,2
Nebraska,Grand Island,2
California,Harbor City,2
Oklahoma,Lawton,2
Bosnia and Herzegovina,Sarajevo,2
New Jersey,Livingston,2
Panama,Colon,2
New York,Watertown,2
Illinois,Midlothian,2
Oregon,Medford,2
Illinois,East St. Louis,2
North Carolina,Tarboro,2
Cuba,Havana,2
Florida,Hollywood,2
Illinois,Bolingbrook,2
New Mexico,Hobbs,2
Maryland,Fort Washington,2
Denmark,Copenhagen,2
Georgia,Lawrenceville,2
North Dakota,Grand Forks,2
California,Anaheim,2
Missouri,Sedalia,2
Brazil,Curitiba,2
Kentucky,Campbellsville,2
Arizona,Tempe,2
Illinois,Kankakee,2
Ohio,Rossford,2
Ohio,Martins Ferry,2
North Carolina,Goldsboro,2
Oklahoma,Shawnee,2
New York,White Plains,2
Serbia,Kraljevo,2
Pennsylvania,Carlisle,2
France,Bordeaux,2
New York,,2
Pennsylvania,Reading,2
Kentucky,Owingsville,2
Pennsylvania,Mahanoy City,2
Puerto Rico,Fajardo,2
South Carolina,Newberry,2
Florida,Bradenton,2
Alabama,Gadsden,2
Louisiana,Lake Charles,2
South Carolina,Marion,2
California,Santa Cruz,2
Texas,Denton,2
Colorado,Colorado Springs,2
New_Zealand,Auckland,2
California,Northridge,2
Bosnia and Herzegovina,Tuzla,2
New York,Copiague,2
Texas,Huntsville,2
Washington,Edmonds,2
California,Lakewood,2
Kentucky,Scottsville,2
Washington,Bremerton,2
Mississippi,Aberdeen,2
Arkansas,El Dorado,2
Pennsylvania,Rochester,2
Kansas,Overland Park,2
Pennsylvania,Erie,2
Mississippi,McComb,2
Pennsylvania,Ambridge,2
Iowa,Iowa City,2
Latvia,Riga,2
Cameroon,Yaounde,2
Montenegro,Bijelo Polje,2
Alabama,Goodwater,2
Kentucky,Hardinsburg,2
Alabama,Demopolis,2
California,Ontario,2
Arkansas,Hamburg,2
Kentucky,Corbin,2
North Carolina,Hickory,2
New York,Westbury,2
Minnesota,Duluth,2
US Virgin Islands,St. Croix,2
California,Encinitas,2
New York,Astoria,2
Lebanon,Beirut,2
Spain,Palma de Mallorca,2
New Jersey,,2
Massachusetts,Roxbury,2
Sudan,Khartoum,2
Alaska,Anchorage,2
North Carolina,Raeford,2
Mississippi,Biloxi,2
Venezuela,Caracas,2
Michigan,Romulus,2
Arkansas,Jonesboro,2
California,Eureka,2
New Jersey,Freehold,2
Viginia,Waynesboro,2
Massachusetts,Springfield,2
Illinois,Carbondale,2
California,Ventura,2
North Carolina,New Bern,2
Argentina,Bahia Blanca,2
California,Hanford,2
California,Lancaster,2
Wisconsin,Green Bay,2
Texas,Nacogdoches,2
Florida,Clearwater,2
Canada,Vancouver,2
Pennsylvania,Bethel Park,2
Florida,Eustis,2
Georgia,Norcross,2
Georgia,Hogansville,2
California,Fullerton,2
Georgia,Sandersville,2
Texas,Garland,2
Texas,Waco,2
Illinois,Granite City,2
Pennsylvania,Duryea,2
Croatia,Sibenik,2
Lithuania,Vilnius,2
Indiana,Franklin,2
Pennsylvania,Norristown,2
Massachusetts,Somerville,1
Tennessee,Coffee County,1
Minnesota,Melrose,1
Tennessee,Cookeville,1
Minnesota,North Robbinsdale,1
Texas,Edge,1
Mississippi,Southaven,1
Texas,Oakwood,1
Missouri,Waynesville,1
Texas,Missouri City,1
Missouri,Bonne Terre,1
Texas,Rosenberg,1
New Mexico,Los Alamos,1
Texas,Bay City,1
New York,Cortlandt Manor,1
Viginia,Amelia,1
New York,Glens Falls,1
Viginia,Emporia,1
North Carolina,Kings Mountain,1
Washington,Pullman,1
North Carolina,Lincolnton,1
Bahamas,Freeport,1
North Carolina,Black Mountain,1
Cameroon,Edea,1
North Carolina,Tryon,1
China,Harbin Manchuria,1
Ohio,Ironton,1
Czech Republic,Pardubice,1
Ohio,Chillicothe,1
France,Cannes,1
Ohio,Glass Rock,1
Georgia,Rustavi,1
Ohio,North Canton,1
Germany,,1
Oklahoma,Harrah,1
Lithuania,Klaipeda,1
South Carolina,Silverstreet,1
Mexico,Chihuahua,1
South Dakota,Tripp,1
Netherlands,Haarlem,1
Tennessee,Franklin,1
Netherlands,Didam,1
Texas,Lantana,1
New_Zealand,Gisborne,1
Texas,Otto,1
Poland,Warsaw,1
Texas,Flower Mound,1
Puerto Rico,Mayaguez,1
Texas,The Colony,1
Puerto Rico,Caguas,1
Washington,Port Angeles,1
Alabama,Patton,1
Wisconsin,Monroe,1
Arkansas,Camden,1
Bosnia and Herzegovina,Bosanska Gradiska,1
California,Glendora,1
Brazil,Sao Goncalo,1
California,Santa Maria,1
Brazil,Brasilia,1
California,Laguna,1
Canada,Welland,1
California,Cerritos,1
China,Shanghai,1
Colorado,Parker,1
China,Henan,1
Connecticut,Bristol,1
Czech Republic,Prague,1
Florida,Vero Beach,1
France,Saint-Etienne,1
Florida,Panama City,1
Germany,Wurzbach,1
Florida,Winter Park,1
Israel,Beit Zera,1
Georgia,Dalton,1
Japan,Yokosuka,1
Georgia,Eastman,1
Montenegro,Bar,1
Georgia,Fitzgerald,1
Netherlands,Den Haag,1
Illinois,Tolono,1
Republic of Macedonia,Ohrid,1
Illinois,Sterling,1
Senegal,Sindia,1
Illinois,Griggsville,1
Serbia,Zajecar,1
Illinois,Naperville,1
South Sudan,Gogrial,1
Illinois,McLeansboro,1
Taiwan,Kaohsiung,1
Indiana,Mishawaka,1
Turkey,Konak,1
Indiana,Elberfeld,1
Arkansas,Hot Springs,1
Kansas,Independence,1
Arkansas,Fordyce,1
Kansas,Ark City,1
Arkansas,Crossett,1
Kansas,Sublette,1
Arkansas,McGhee,1
Kentucky,Monticello,1
Arkansas,Prescott,1
Kentucky,Horse Cave,1
California,Salinas,1
Kentucky,Midway,1
California,Westminster,1
Louisiana,Rayville,1
California,Mission Hills,1
Louisiana,Alexandria,1
California,Arcadia,1
Maryland,Capitol Heights,1
California,Reseda,1
Maryland,Chestertown,1
California,Upland,1
Michigan,Warren,1
Connecticut,New London,1
Minnesota,Owatonna,1
Connecticut,Middletown,1
Mississippi,Ethel,1
Georgia,Gwinnett,1
Montana,Glendive,1
Georgia,Rome,1
New Jersey,Woodbury,1
Georgia,Shellman,1
New Jersey,River Edge,1
Georgia,Twiggs,1
New Jersey,Asbury Park,1
Georgia,Gray,1
New York,Minoa,1
Illinois,Roxana,1
New York,Bayside,1
Illinois,Libertyville,1
New York,Liberty,1
Indiana,Huntington,1
New York,Bayshore,1
Indiana,Roachdale,1
New York,New York City,1
Iowa,Oskaloosa,1
New York,Southhampton,1
Kentucky,Morganfield,1
North Carolina,Aurora,1
Louisiana,Natchitoches,1
Ohio,Kelleys Island,1
Louisiana,Hico,1
Oklahoma,Watonga,1
Louisiana,West Monroe,1
Tennessee,Shelbyville,1
Maine,Bangor,1
Tennessee,Jackson,1
Massachusetts,Westfield,1
Texas,Jasper,1
Michigan,,1
Viginia,Culpepper,1
Mississippi,Clarksdale,1
Viginia,Henrico,1
Mississippi,Kosciusko,1
Viginia,Keokee,1
Mississippi,Madison County,1
Viginia,Quantico,1
Mississippi,Ruleville,1
Wisconsin,Fond du Lac,1
Missouri,Grandview,1
Wisconsin,Oshkosh,1
Missouri,East St. Louis,1
Wisconsin,Eau Claire,1
Missouri,Puxico,1
Canada,Victoria,1
Nebraska,Bushnell,1
China,Hebei,1
New Jersey,Hillside,1
Colombia,Barranquilla,1
New Jersey,Edison,1
Dominica,Roseau,1
New Mexico,Las Cruces,1
Finland,Vantaa,1
New York,Peekskill,1
France,Calais,1
New York,Carmel,1
Israel,Holon,1
New York,Kew Gardens,1
Lithuania,Marijampoles,1
North Carolina,Hoke,1
Portugal,Lisbon,1
North Carolina,Chapel Hill,1
Saint Lucia,Castries,1
Ohio,Painesville,1
South Africa,Johannesburg,1
Ohio,Canal Winchester,1
Trinidad and Tobago,,1
Ohio,East Liverpool,1
United Kingdom,,1
Oklahoma,Hollis,1
Alabama,Town Creek,1
Pennsylvania,Morrisville,1
Arkansas,Tuckerman,1
Pennsylvania,Shamokin,1
Arkansas,Searcy,1
Pennsylvania,McKees Rocks,1
Arkansas,Plummerville,1
South Carolina,Beaufort,1
California,Rancho Cucamonga,1
South Carolina,Georgetown,1
California,Pittsburg,1
Tennessee,Portland,1
California,Claremont,1
Texas,Austin,1
California,Clayton,1
Texas,Boyd,1
California,Downey,1
Texas,El Mina,1
Connecticut,Monroe,1
Utah,Sandy,1
Florida,Chipley,1
Viginia,Gate City,1
Florida,Brandon,1
Viginia,Fredericksburg,1
Georgia,Fort Valley,1
Washington,Everett,1
Georgia,Carrollton,1
Wisconsin,Sheboygan,1
Idaho,Coeur d'Alene,1
Wisconsin,LaCrosse,1
Idaho,Pocatello,1
Angola,Luanda,1
Illinois,Dekalb,1
Argentina,Córdoba,1
Illinois,Phoenix,1
Argentina,Rio Tercero,1
Illinois,LaGrange,1
Bosnia and Herzegovina,Doboj,1
Illinois,Norris City,1
Brazil,Sao Carlos,1
Illinois,East Peoria,1
Canada,Etobicoke,1
Indiana,Huntingburg,1
Czech Republic,Zlin,1
Indiana,Logansport,1
Egypt,Alexandria,1
Indiana,West Lafayette,1
France,Saint-Maurice,1
Indiana,LaPorte,1
Germany,Landstuhl,1
Kansas,Leavenworth,1
Greece,Amarousio,1
Kentucky,Henshaw,1
Italy,San Giovanni in Persiceto,1
Kentucky,Farmington,1
Italy,Caserta,1
Louisiana,Thibodaux,1
Mexico,Meoqui,1
Louisiana,Jonesboro,1
Puerto Rico,Aibonito,1
Louisiana,Summerfield,1
Slovenia,Slovenj Gradec,1
Maryland,Berlin,1
Spain,Azuqueca de Henares,1
Minnesota,Winona,1
Sweden,Stockholm,1
Mississippi,Flora,1
Alabama,Meridianville,1
Mississippi,Indianola,1
Arkansas,Blytheville,1
Mississippi,Laurel,1
California,Santa Clara,1
Montana,,1
California,Oceanside,1
New Jersey,Plainsboro,1
California,Palmdale,1
New Jersey,Fanwood,1
California,Tarzana,1
New York,Floral Park,1
California,Chatsworth,1
New York,Elmira,1
California,San Gabriel,1
New York,Amherst,1
California,Reedley,1
New York,Uniondale,1
California,Los Gatos,1
New York,Lockport,1
Colorado,Greeley,1
New York,Flushing,1
Florida,Jasper,1
North Dakota,Bottineau,1
Florida,Pahokee,1
Ohio,Reynoldsburg,1
Florida,Lauderdale Lakes,1
Ohio,Wilmington,1
Georgia,Milan,1
Pennsylvania,Ardmore,1
Hawaii,Maui,1
Pennsylvania,Wilkinsburg,1
Illinois,Lincoln,1
Pennsylvania,Clairton,1
Illinois,Cairo,1
Pennsylvania,Kingston,1
Iowa,Orange City,1
Pennsylvania,Orefield,1
Kansas,Winfield,1
South Dakota,Mitchell,1
Kansas,Wamego,1
New York,Mount Kisco,1
Kansas,Yale,1
New York,Scarsdale,1
Kansas,Meriden,1
North Dakota,Minot,1
Kentucky,,1
Ohio,Warrensville Heights,1
Kentucky,Bedford,1
Oklahoma,Taft,1
Louisiana,Grambling,1
Oregon,Roseburg,1
Louisiana,Ferriday,1
Pennsylvania,Coatesville,1
Louisiana,Columbia,1
Pennsylvania,Braddock,1
Mississippi,Necaise Crossing,1
Pennsylvania,Sewickley,1
Mississippi,Kiln,1
South Carolina,Union,1
Mississippi,Flowood,1
South Carolina,Hopkins,1
Missouri,Charlestown,1
Tennessee,Antioch,1
Missouri,Kirksville,1
Tennessee,Mt. Juliet,1
New Jersey,Lakewood,1
Texas,Harlingen,1
New Jersey,Englewood,1
Texas,Texarkana,1
New York,Glendale,1
Texas,Falls County,1
New York,Angola,1
Texas,Texas City,1
New York,Naples,1
Texas,Corpus Christi,1
North Carolina,Franklinton,1
Texas,Waxahachie,1
North Carolina,Jonesville,1
Utah,Pleasant Grove,1
Ohio,Fostoria,1
Austria,Vienna,1
Ohio,Lebanon,1
Canada,Brampton,1
Pennsylvania,West Mifflin,1
France,Cagnes-sur-Mer,1
Pennsylvania,Lebanon,1
Mali,Bougouni,1
Pennsylvania,Midland,1
Mexico,El Rosario,1
Pennsylvania,Williamsport,1
Nigeria,Kaduna,1
