region,city,players_origin
Pennsylvania,Wilkes-Barre,1
Panama,Panama City,1
South Carolina,Walterboro,1
Romania,Triteni,1
Tennessee,Oak Ridge,1
South Sudan,Juba,1
Tennessee,Bells,1
Spain,El Masnou,1
Texas,Webster,1
Switzerland,Morges,1
Texas,Livingston,1
Ukraine,Antratsit,1
Texas,Dublin,1
Alabama,Anniston,1
Viginia,South Boston,1
Alabama,Centreville,1
Washington,Chelan,1
Alabama,Selma,1
Wisconsin,Elkhorn,1
Alabama,Elba,1
Wisconsin,Chippewa Falls,1
California,Richmond,1
Wisconsin,Phillips,1
California,Newport Beach,1
Argentina,Venado Tuerto,1
California,Lakeport,1
Canada,Uxbridge,1
California,Palos Verdes,1
Finland,Helsinki,1
Florida,Daytona,1
France,Le Havre,1
Florida,Tavares,1
Iceland,Reykjavik,1
Idaho,Paul,1
Lithuania,Marijampole,1
Illinois,Madison,1
Norway,Oslo,1
Illinois,Elmhurst,1
Panama,Panama Canal Zone,1
Illinois,East Dundee,1
Romania,Satu-Mare,1
Illinois,Trenton,1
Serbia,Valjevo,1
Illinois,Sandwich,1
Slovenia,Maribor,1
Indiana,New Albany,1
Switzerland,Geneva,1
Kansas,Pittsburg,1
United Kingdom,Southampton,1
Kansas,Manhattan,1
Alabama,Leeds,1
Kentucky,Henderson,1
Alabama,Fort Rucker,1
Kentucky,Columbia,1
Alabama,Bessemer,1
Kentucky,Princeton,1
Arizona,Mesa,1
Louisiana,Gretna,1
Arkansas,Cherry Valley,1
Louisiana,Collinston,1
Arkansas,Cotton Plant,1
Massachusetts,Arlington,1
Arkansas,Jacksonville,1
Massachusetts,New Bedford,1
California,Greenbrae,1
Michigan,Battle Creek,1
California,Edwards AFB,1
Minnesota,Apple Valley,1
California,Rosemead,1
Minnesota,Fulda,1
California,Orange County,1
Mississippi,Scooba,1
California,Colton,1
Mississippi,Quitman,1
Delaware,New Castle,1
Mississippi,Thornton,1
Florida,Leesburg,1
New Jersey,Willingboro,1
Georgia,Valdosta,1
New Jersey,Caldwell,1
Georgia,Roswell,1
New Jersey,New Jersey,1
Georgia,Thomson,1
New York,Hempstead,1
Georgia,Talbotton,1
Viginia,Covington,1
Georgia,Perry,1
Viginia,Falls Church,1
Illinois,Campbell Hill,1
Washington,Elma,1
Illinois,Oak Lawn,1
Washington,Renton,1
Illinois,South Holland,1
Wisconsin,Neenah,1
Illinois,Gurnee,1
Antigua and Barbuda,St. John's,1
Illinois,Roselle,1
Australia,Canberra,1
Indiana,Tipton,1
Bosnia and Herzegovina,Bihac,1
Indiana,Lebanon,1
Canada,Winnipeg,1
Iowa,Washington,1
China,He Shan,1
Kentucky,Warren County,1
Czech Republic,Strakonice,1
Kentucky,Williamstown,1
France,Clamart,1
Louisiana,Sailes,1
France,Cholet,1
Louisiana,Delcambre,1
Gabon,Port-Gentil,1
Maryland,Havre De Grace,1
Germany,Eschwege,1
Massachusetts,Fall River,1
Hungary,,1
Michigan,Linwood,1
Islamic Republic of Iran,Ahvaz,1
Minnesota,Stillwater,1
Martinique,Le Robert,1
Minnesota,Hill City,1
Nigeria,Nkwere,1
Minnesota,Gonvick,1
Serbia,Priboj,1
Mississippi,Anguilla,1
Spain,Vic,1
Mississippi,Tylertown,1
Turkey,Bursa,1
Mississippi,Summit,1
United Kingdom,Farnham,1
Nebraska,Hastings,1
United Republic of Tanzania,Dar es Salaam,1
New Jersey,Belle Mead,1
Alabama,Covin,1
New Jersey,Somerville,1
Alabama,Brantley,1
New York,Bayville,1
Alabama,Linden,1
New York,Mineola,1
California,Carson,1
New York,North Babylon,1
California,Orinda,1
New York,Huntington Station,1
California,Costa Mesa,1
New York,Hudson,1
California,Covina,1
New York,Waterloo,1
California,Mount Shasta,1
New York,Sunnyside,1
Florida,Melbourne,1
North Carolina,High Point,1
Florida,Longwood,1
North Carolina,Wagram,1
Georgia,Elberton,1
North Carolina,Oxford,1
Illinois,Centreville,1
North Carolina,Plymouth,1
Illinois,Batavia,1
North Carolina,Halifax,1
Illinois,Mount Vernon,1
North Carolina,Golden Valley,1
Illinois,Moline,1
Ohio,Zanesville,1
Kansas,Spearville,1
Ohio,Shelby,1
Kentucky,Williamsport,1
Oregon,Happy Valley,1
Kentucky,Harlan,1
Pennsylvania,Bethlehem,1
Kentucky,Caldwell,1
Pennsylvania,Aliquippa,1
Louisiana,Sorrento,1
Pennsylvania,Holland,1
Maryland,Havre de Grace,1
South Carolina,Sumter,1
Massachusetts,Malden,1
South Carolina,Ritter,1
Michigan,Wyoming,1
Tennessee,Parsons,1
Minnesota,Cottage Grove,1
Tennessee,Clarksville,1
Minnesota,McIntosh,1
Texas,Hillister,1
Mississippi,Houston,1
Texas,Dodd City,1
Mississippi,Vicksburg,1
Texas,Albany,1
Mississippi,Natchez,1
Texas,Medicine Mound,1
Missouri,Clarkton,1
Texas,Crockett,1
Missouri,Mexico,1
Texas,Tulia,1
Montana,Great Falls,1
Texas,Nederland,1
Montana,Libby,1
Texas,Broaddus,1
New Jersey,Pitman,1
Utah,Layton,1
New York,Hicksville,1
Viginia,Montross,1
New York,Richmond,1
Viginia,Suffolk,1
New York,Rome,1
Washington,Battle Ground,1
North Carolina,Gibson,1
Wisconsin,Owen,1
North Carolina,Washington,1
Belgium,Ixelles,1
Ohio,Barberton,1
Brazil,Belo Horizonte,1
Pennsylvania,Ephrata,1
Canada,Holland Landing,1
Pennsylvania,Simpson,1
Croatia,Osijek,1
Rhode Island,West Warwick,1
Democratic Republic of the Congo,Lubumbashi,1
Rhode Island,Westerly,1
Greece,Heraklion,1
South Carolina,Lancaster,1
Guadeloupe,Pointe Noire,1
South Dakota,Britton,1
Latvia,Ventspils,1
Texas,DeSoto,1
Netherlands,Rotterdam,1
Texas,Friendswood,1
Nigeria,Ibadan,1
Viginia,Dumfries,1
Puerto Rico,Carolina,1
Viginia,Williamsburg,1
Saint Vincent and the Grenadines,Canouan,1
Viginia,Nansemond County,1
Senegal,,1
Viginia,Amherst,1
Ukraine,Dnepropetrovsk,1
Washington,Bellevue,1
Alabama,Perry,1
Wisconsin,Randolph,1
Alabama,Hartselle,1
Wyoming,Lander,1
Arkansas,North Little Rock,1
Australia,Hope Forest,1
California,French Camp,1
Brazil,Porto Alegre,1
California,Livermore,1
Canada,Windsor,1
California,Chula Vista,1
Croatia,Drnis,1
Florida,St. Augustine,1
Czech Republic,Ostrava,1
Florida,Pompano Beach,1
France,Niort,1
Florida,Belle Glade,1
Guadeloupe,Pointe-a-Pitre,1
Georgia,Jonesboro,1
Mexico,Tepic,1
Georgia,LaGrange,1
Montenegro,Kolašin,1
Georgia,Hinesville,1
New_Zealand,Rotorua,1
Georgia,Brunswick,1
Puerto Rico,San Juan,1
Georgia,Thomasville,1
Republic of Korea,Seoul,1
Illinois,Brooklyn,1
Serbia,Novi Pazar,1
Indiana,Colfax,1
Spain,Sant Feliu de Llobregat,1
Iowa,Fort Madison,1
Trinidad and Tobago,Trinidad,1
Kentucky,Marion,1
Ukraine,Cherkasy,1
Kentucky,Richmond,1
Arkansas,Fayetteville,1
Kentucky,Central City,1
California,Glendale,1
Louisiana,Iowa,1
California,Fort Ord,1
Massachusetts,Bernardston,1
California,Vallejo,1
Massachusetts,Lawrence,1
California,Hayward,1
Michigan,Royal Oak,1
Connecticut,Waterbury,1
Michigan,Bloomfield Hills,1
Georgia,Gainesville,1
Mississippi,Collins,1
Illinois,Christopher,1
Mississippi,Bethlehem,1
Illinois,Brookfield,1
Missouri,Ironton,1
Illinois,Niles,1
Missouri,West Plains,1
Indiana,Valparaiso,1
Missouri,Webster Groves,1
Indiana,Holland,1
New Jersey,Rutherford,1
Indiana,Rushville,1
New Jersey,Maplewood,1
Kansas,Pratt,1
New York,Cold Spring,1
Louisiana,DeRidder,1
New York,Brookhaven,1
Louisiana,Homer,1
North Carolina,Wilson's Mills,1
Maryland,Mount Airy,1
North Carolina,Jacksonville,1
Maryland,Temple Hills,1
North Carolina,Lenoir County,1
Michigan,Wayne,1
North Dakota,Bowbells,1
Mississippi,Okolona,1
Ohio,Mentor,1
Mississippi,Monticello,1
Ohio,Newark,1
Mississippi,Rosedale,1
Ohio,Caldwell,1
Missouri,Independence,1
Oklahoma,Apache,1
New Jersey,Cherry Hill,1
Oklahoma,Rocky,1
New Mexico,Silver City,1
Oregon,McMinnville,1
New York,Far Rockaway,1
Pennsylvania,Mechanicsburg,1
New York,North Tarrytown,1
Pennsylvania,Portage,1
North Carolina,Crossnore,1
Pennsylvania,Luzerne,1
North Carolina,Pleasant Grove,1
Pennsylvania,Monaca,1
North Carolina,Newton Grove,1
Pennsylvania,Moon Township,1
North Carolina,Elizabeth City,1
Pennsylvania,Penn Hills,1
North Carolina,Salisbury,1
Pennsylvania,Darby,1
Ohio,Jamestown,1
Pennsylvania,Levittown,1
Ohio,West Jefferson,1
Rhode Island,Pawtucket,1
Ohio,Euclid,1
Tennessee,Somerville,1
Oklahoma,Muskogee,1
Tennessee,Charlotte,1
Oregon,Tualatin,1
Tennessee,Hendersonville,1
Pennsylvania,Butler,1
Texas,College Station,1
Pennsylvania,Lancaster,1
Texas,Grand Prairie,1
Pennsylvania,Millersville,1
Texas,Greenville,1
Rhode Island,North Providence,1
Texas,Jacksonville,1
Tennessee,Linden,1
Texas,Rockwall,1
Texas,Larue,1
Texas,Duncanville,1
Texas,Wichita Falls,1
Texas,Bonham,1
Utah,Hooper,1
Washington,Richland,1
Utah,Kaysville,1
Wisconsin,Rice Lake,1
Wisconsin,Lafarge,1
Wisconsin,Janesville,1
Wyoming,Afton,1
Wyoming,Casper,1
Wyoming,Sheridan,1
Bosnia and Herzegovina,Capljina,1
Argentina,Añatuya,1
Bosnia and Herzegovina,Trebinje,1
Belgium,Bruges,1
Brazil,Joinville,1
Brazil,Cachoeiro de Itapemirim,1
Canada,Ottawa,1
Canada,Kitchener,1
Cuba,Santa Clara,1
Croatia,Dubrovnik,1
Dominican Republic,La Romana,1
Croatia,Slavonska Pozega,1
France,Lisieux,1
Dominican Republic,Puerto Plata,1
France,Lyon,1
Italy,Montebelluna,1
France,Loudeac,1
Italy,Sant'Angelo Lodigiano,1
Germany,Aschaffenburg,1
Italy,Pordenone,1
Germany,Wuppertal,1
Latvia,Liepaja,1
Germany,Leverkusen,1
Lithuania,Utena,1
Germany,Braunschweig,1
Luxembourg,Luxembourg,1
Germany,Delmenhorst,1
Nigeria,Kano,1
Greece,Hania,1
Republic of Macedonia,Skopje,1
Guadeloupe,Les Abymes,1
Republic of the Congo,Brazzaville,1
Haiti,Port-Au-Prince,1
Slovenia,Postojna,1
Israel,Petah Tikva,1
Spain,Valencia,1
Italy,Reggio Emilia,1
Turkey,Giresun,1
Puerto Rico,Santurce,1
United Kingdom,Heacham,1
Serbia,Cacak,1
Alabama,Vredenburgh,1
Slovenia,Koper,1
Alabama,Luverne,1
Slovenia,Kranj,1
Alabama,Opelika,1
Spain,Las Palmas,1
California,Santa Barbara,1
Tunisia,Jendouba,1
California,Lindsay,1
Turkey,Yalova,1
Connecticut,New Britain,1
Alabama,Abbeville,1
Florida,Stuart,1
California,Monrovia,1
Florida,St. Petersburg,1
California,Tulare,1
Georgia,Newnan,1
California,Venice,1
Illinois,Bloomington,1
California,San Leandro,1
Illinois,Arlington Heights,1
California,,1
Illinois,Wood River,1
Connecticut,Norwalk,1
Illinois,,1
Delaware,Dover,1
Illinois,Kewanee,1
Georgia,Bainbridge,1
Illinois,Murphysboro,1
Georgia,West Point,1
Illinois,Hickory Hills,1
Illinois,Bellwood,1
Indiana,Otterbein,1
Illinois,Park Forest,1
Indiana,Whiting,1
Illinois,Freeport,1
Indiana,Greencastle,1
Illinois,Eldorado,1
Iowa,Grand View,1
Indiana,New Castle,1
Kansas,Lawrence,1
Indiana,Grant County,1
Kansas,Hays,1
Indiana,Berne,1
Kentucky,Neon,1
Indiana,Petersburg,1
Louisiana,Ruston,1
Indiana,Hobart,1
Louisiana,DeQuincy,1
Indiana,La Porte,1
Michigan,Ypsilanti,1
Iowa,Sioux City,1
Michigan,Paw Paw,1
Iowa,Muscatine,1
Minnesota,Bloomington,1
Kansas,Chanute,1
Minnesota,St. Louis Park,1
Kentucky,Corydon,1
Minnesota,Monticello,1
Massachusetts,Cambridge,1
Minnesota,Slayton,1
Massachusetts,Framingham,1
New Jersey,Toms River,1
Michigan,Cassopolis,1
New Jersey,Waldick,1
Minnesota,Robbinsdale,1
New Jersey,Riverside,1
Mississippi,Carrolton,1
New Mexico,Alamogordo,1
Mississippi,Pearl,1
New York,Elmsford,1
Montana,Miles City,1
North Carolina,East Spencer,1
New Jersey,Long Branch,1
Ohio,Versailles,1
New York,Roosevelt,1
Ohio,Steubenville,1
North Carolina,Havelock,1
Ohio,Butler,1
North Carolina,Murfreesboro,1
Oklahoma,,1
North Carolina,Elm City,1
Oklahoma,Bartlesville,1
North Carolina,Rockingham,1
Pennsylvania,Berwick,1
Ohio,Oxford,1
Pennsylvania,Wynnewood,1
Ohio,Lorain,1
Pennsylvania,Ford City,1
Oklahoma,Altus,1
South Dakota,Brookings,1
Pennsylvania,McKeesport,1
Tennessee,Millington,1
Pennsylvania,Swoyersville,1
Tennessee,Lewisburg,1
Pennsylvania,West Hazleton,1
Texas,Harleton,1
Pennsylvania,Freeland,1
Utah,Murray,1
Pennsylvania,West Chester,1
Rhode Island,Newport,1
South Carolina,Williamsburg County,1
South Carolina,Myrtle Beach,1
Texas,Hillsboro,1
Viginia,Garrisonville,1
Washington,Auburn,1
Wisconsin,Superior,1
Argentina,Juan José Castelli,1
Australia,Maryborough,1
Brazil,Osasco,1
Brazil,Juiz de Fora,1
Bulgaria,Triavna,1
Cameroon,Douala,1
Cape Verde,Maio,1
Croatia,Pula,1
Estonia,Tallinn,1
France,Sainte-Catherine-les-Arras,1
France,Montbrison,1
France,Dreux,1
Germany,Speyer,1
Montenegro,Pljevlja,1
Serbia,Prijepolje,1
US Virgin Islands,St. Thomas,1
Alabama,Athens,1
Alabama,Phenix City,1
Arkansas,Black Oak,1
California,Lodi,1
California,Orange,1
California,South Gate,1
Florida,Haines City,1
Florida,Port St. Lucie,1
Florida,Monticello,1
Florida,Fort Pierce,1
Florida,Fort Myers,1
Georgia,Lithonia,1
Georgia,Baxley,1
Illinois,Harvard,1
Illinois,Dixon,1
Indiana,Delphi,1
Iowa,Emmetsburg,1
Kansas,Junction City,1
Maryland,Landover,1
Maryland,Oxon Hill,1
Maryland,Columbia,1
Michigan,St. Joseph,1
Minnesota,Lake City,1
Minnesota,Long Lake,1
Mississippi,Cleveland,1
Montana,Deer Lodge,1
New Jersey,Fairview,1
New Jersey,Kearney,1
New Jersey,Raritan,1
New Jersey,Seacaucus,1
New York,Dobbs Ferry,1
New York,Utica,1
New York,Jamestown,1
New York,Bellerose,1
New York,Southampton,1
North Carolina,Shelby,1
Ohio,New Knoxville,1
Ohio,Westerville,1
Ohio,Trotwood,1
Oklahoma,McCloud,1
Oklahoma,Owasso,1
Oklahoma,Temple,1
Oregon,Coos Bay,1
Oregon,Salem,1
Pennsylvania,Palmerton,1
Pennsylvania,Scranton,1
South Carolina,Dalzell,1
South Carolina,Anderson,1
South Dakota,Sioux Falls,1
Tennessee,Coldwater,1
Tennessee,Smyrna,1
Texas,Del Rio,1
Texas,San Angelo,1
Viginia,Sussex,1
Washington,Ellensburg,1
Washington,Stevenson,1
Washington,Aberdeen,1
Washington,Moses Lake,1
Wyoming,Hot Springs,1
Australia,Horsham,1
Bahamas,Eleuthera,1
Brazil,Orlandia,1
Egypt,Cairo,1
France,Cormeilles-en-Parisis,1
Germany,Neuwied,1
Ghana,,1
Ghana,Accra,1
Italy,Rome,1
Italy,Bassano del Grappa,1
Latvia,Cesis,1
Serbia,Zrenjanin,1
Serbia,Sombor,1
Serbia,Apatin,1
Sweden,Norrkoping,1
Switzerland,Zurich,1
Switzerland,Vevey,1
Uruguay,Montevideo,1
Alabama,Clayton,1
Alabama,Knoxville,1
Alabama,White Hall,1
Arkansas,Russellville,1
California,Moreno Valley,1
California,Danville,1
California,San Luis Obispo,1
California,Visalia,1
Colorado,Steamboat Springs,1
Connecticut,Meriden,1
Florida,Sanford,1
Florida,Sarasota,1
Florida,Boynton Beach,1
Georgia,Townsend,1
Georgia,Sparta,1
Illinois,Rosemond,1
Illinois,Mt. Vernon,1
Illinois,Lisle,1
Illinois,Zeigler,1
Indiana,Fishers,1
Indiana,Rockville,1
Iowa,Postville,1
Kansas,Fort Scott,1
Kansas,Harper,1
Kentucky,Lawrenceburg,1
Kentucky,Trigg County,1
Louisiana,Bossier City,1
Louisiana,Vidalia,1
Massachusetts,Weymouth,1
Michigan,River Rouge,1
Minnesota,Excelsior,1
Minnesota,Thief River Falls,1
Minnesota,Edina,1
New Hamshire,Concord,1
New Jersey,Linwood,1
New Jersey,Princeton,1
New Mexico,Clovis,1
New York,Cornwall,1
New York,Lockwood,1
North Carolina,King,1
North Carolina,Lowlands,1
North Carolina,Shallotte,1
North Dakota,Devils Lake,1
Ohio,Cleveland Heights,1
Ohio,Kettering,1
Oklahoma,Washington,1
Oklahoma,Cotton County,1
Pennsylvania,Etna,1
Pennsylvania,Pottstown,1
Pennsylvania,Easton,1
Pennsylvania,Renton,1
Tennessee,Covington,1
Tennessee,Middleton,1
Tennessee,Bristol,1
Tennessee,Brownsville,1
Texas,,1
Texas,Bedford,1
Viginia,Prince George,1
Wisconsin,Kohler,1
Canada,Hamilton,1
France,Maisons Alfort,1
France,Cucq-Trepied-Stella-Plage,1
Germany,Frankfort,1
Germany,Salzgitter,1
Haiti,Cap-Haitian,1
Italy,Beano,1
Mali,Kayes,1
Montenegro,Podgorica,1
Netherlands,Den Helder,1
Netherlands,Eindhoven,1
Serbia,Nova Varos,1
Slovakia,Levice,1
Spain,Tenerife,1
Ukraine,Karapyshi,1
Arizona,Scottsdale,1
Arkansas,Osecola,1
Arkansas,Altheimer,1
California,Lompoc,1
California,Mission Viejo,1
California,La Jolla,1
Colorado,Wray,1
Connecticut,New Canaan,1
Florida,Cape Coral,1
Georgia,Dublin,1
Georgia,Stone Mountain,1
Idaho,American Falls,1
Illinois,Charleston,1
Kentucky,Sturgis,1
Kentucky,Fulton,1
Kentucky,London,1
Maine,York,1
Maryland,Gaithersburg,1
Massachusetts,Norwood,1
Massachusetts,Roslindale,1
Michigan,Sterling Heights,1
Michigan,Inkster,1
Minnesota,Virginia,1
Mississippi,Silver City,1
Mississippi,Carthage,1
Missouri,St. Charles,1
New Jersey,Merchantville,1
New York,Middletown,1
New York,Huntington,1
New York,Bellport,1
New York,Monroe,1
New York,Rockaway,1
North Carolina,Kelford,1
North Carolina,Wallace,1
Ohio,Lee's Creek,1
Ohio,Sandusky,1
Ohio,Lancaster,1
Ohio,Youngstown,1
Oklahoma,Henryetta,1
Pennsylvania,Swissvale,1
Pennsylvania,Abington,1
Pennsylvania,Homestead,1
Pennsylvania,New Brighton,1
Pennsylvania,Hershey,1
South Carolina,Plymouth,1
Tennessee,Dresden,1
Texas,Floydada,1
Texas,Cumby,1
Texas,Fairfield,1
Texas,Keller,1
Viginia,Shipman,1
Viginia,Manassas,1
Washington,Snohomish,1
Washington,Mount Vernon,1
Washington,Gate,1
Wisconsin,,1
Wisconsin,Lacrosse,1
Wisconsin,Valders,1
Australia,E Malvern,1
Brazil,Santa Teresa,1
Democratic Republic of the Congo,Goma,1
Dominican Republic,San Pedro de Macoris,1
France,Saint-Quentin,1
Georgia,Sagarejo,1
Germany,Wiesbaden,1
Germany,Heidelberg,1
Greece,Larissa,1
Ireland,Dublin,1
Montenegro,Herceg Novi,1
Morocco,Casablanca,1
Serbia,Novi Sad,1
Slovenia,Celje,1
Turkey,Eskisehir,1
United Kingdom,Paisley,1
Alabama,Crenshaw,1
Alabama,Sylacauga,1
Arkansas,Conway,1
Arkansas,Menifee,1
California,Fountain Valley,1
California,Etiwanda,1
California,Burbank,1
California,Hacienda Heights,1
Colorado,Cortez,1
Delaware,Newark,1
Florida,Cocoa,1
Georgia,East Point,1
Georgia,Swainsboro,1
Georgia,Roberta,1
Idaho,Arco,1
Illinois,Robinson,1
Illinois,Princeton,1
Indiana,Pennville,1
Iowa,Dubuque,1
Kentucky,Beaver Dam,1
Kentucky,Wickliffe,1
Kentucky,Webster County,1
Louisiana,Kentwood,1
Maryland,Hyattsville,1
Maryland,Lanham,1
Massachusetts,Hamilton,1
Minnesota,New Ulm,1
Minnesota,Lakeville,1
Minnesota,St. Cloud,1
Mississippi,Madison,1
Mississippi,Greenville,1
Mississippi,Crawford,1
Missouri,Crystal City,1
Missouri,Leonard,1
Missouri,Springfield,1
Montana,Havre,1
New Jersey,Hackensack,1
New Jersey,Millstone Township,1
New York,Ogdensburg,1
New York,Queens Village,1
New York,Valhalla,1
New York,Islip,1
New York,New Hyde Park,1
New York,Ithaca,1
New York,Queensbridge,1
North Carolina,Smithfield,1
North Carolina,Pineville,1
North Carolina,Cordova,1
North Carolina,Henderson,1
North Carolina,Lexington,1
Ohio,Midvale,1
Ohio,Lexington,1
Ohio,Greenfield,1
Pennsylvania,Upper Darby,1
Tennessee,Lobelville,1
Texas,El Paso,1
Texas,Port Arthur,1
Texas,Taylor,1
Texas,Pearland,1
Texas,Abilene,1
Texas,Temple,1
Viginia,Warrenton,1
Viginia,Sharps,1
Viginia,Clarksville,1
Belgium,Gent,1
Brazil,Pouso Alegre,1
Canada,Saskatoon,1
Gabon,Libreville,1
Germany,Heidelburg,1
Germany,Bergisch Gladbach,1
Israel,Tel Aviv,1
Italy,Siena,1
Japan,Toyama,1
Senegal,Kebemer,1
Senegal,Thies,1
Spain,Villanueva de la Serena,1
Sweden,Kinna,1
Ukraine,Odessa,1
Ukraine,Donetsk,1
Alabama,Leighton,1
Alabama,Andalusia,1
Arizona,Clemenceau,1
Arkansas,Newark,1
California,Gridley,1
California,Bloomington,1
California,Monterey,1
California,Watsonville,1
Colorado,Aurora,1
Colorado,Durango,1
Connecticut,Litchfield,1
Connecticut,Torrington,1
Florida,Ft. Lauderdale,1
Florida,Fort Walton,1
Florida,Weirsdale,1
Florida,Key West,1
Georgia,Moultrie,1
Hawaii,Hilo,1
Illinois,Peru,1
Indiana,West Baden,1
Indiana,Chesterton,1
Iowa,Hampton,1
Kentucky,Burgin,1
Kentucky,Vanceburg,1
Kentucky,Maysville,1
Kentucky,Flat Lick,1
Louisiana,Reserve,1
Louisiana,Mamou,1
Louisiana,Bernice,1
Maryland,Hagerstown,1
Massachusetts,Winthrop,1
Michigan,Shelby,1
Minnesota,Dawson,1
Mississippi,Picayune,1